matchid,match,bowlingTeam,bowlerName,overs,whole overs,leftovers,balls,runs,wickets,economy,dotBalls,fours,sixes,wides,noBalls
T20 #1,Super Kings vs Titans,Titans,Mohammed Shami,4,4,0,24,29,2,7.25,13,2,2,0,1
T20 #1,Super Kings vs Titans,Titans,Hardik Pandya,3,3,0,18,28,0,9.33,6,2,2,0,0
T20 #1,Super Kings vs Titans,Titans,Josh Little,4,4,0,24,41,1,10.25,10,4,3,0,0
T20 #1,Super Kings vs Titans,Titans,Rashid Khan,4,4,0,24,26,2,6.5,10,2,1,0,0
T20 #1,Super Kings vs Titans,Titans,Alzarri Joseph,4,4,0,24,33,2,8.25,8,0,3,0,0
T20 #1,Super Kings vs Titans,Titans,Yash Dayal,1,1,0,6,14,0,14,2,0,2,0,0
T20 #1,Super Kings vs Titans,Super Kings,Deepak Chahar,4,4,0,24,29,0,7.25,9,1,2,0,0
T20 #1,Super Kings vs Titans,Super Kings,Tushar Deshpande,3.2,3,2,20,51,1,15.3,5,4,4,1,1
T20 #1,Super Kings vs Titans,Super Kings,Rajvardhan Hangargekar,4,4,0,24,36,3,9,10,4,1,3,1
T20 #1,Super Kings vs Titans,Super Kings,Mitchell Santner,4,4,0,24,32,0,8,7,5,0,0,0
T20 #1,Super Kings vs Titans,Super Kings,Ravindra Jadeja,4,4,0,24,28,1,7,9,1,1,0,0
T20 #2,Punjab Kings vs KKR,KKR,Umesh Yadav,4,4,0,24,27,1,6.75,11,2,1,0,0
T20 #2,Punjab Kings vs KKR,KKR,Tim Southee,4,4,0,24,54,2,13.5,7,6,3,0,0
T20 #2,Punjab Kings vs KKR,KKR,Sunil Narine,4,4,0,24,40,1,10,8,3,2,1,0
T20 #2,Punjab Kings vs KKR,KKR,Varun Chakravarthy,4,4,0,24,26,1,6.5,10,2,1,1,0
T20 #2,Punjab Kings vs KKR,KKR,Shardul Thakur,4,4,0,24,43,0,10.75,7,4,2,0,1
T20 #2,Punjab Kings vs KKR,Punjab Kings,Sam Curran,3,3,0,18,38,1,12.66,4,3,3,0,0
T20 #2,Punjab Kings vs KKR,Punjab Kings,Arshdeep Singh,3,3,0,18,19,3,6.33,10,2,1,0,0
T20 #2,Punjab Kings vs KKR,Punjab Kings,Nathan Ellis,3,3,0,18,27,1,9,8,2,1,0,2
T20 #2,Punjab Kings vs KKR,Punjab Kings,Sikandar Raza,3,3,0,18,25,1,8.33,5,3,0,1,0
T20 #2,Punjab Kings vs KKR,Punjab Kings,Rishi Dhawan,1,1,0,6,15,0,15,2,2,1,0,0
T20 #2,Punjab Kings vs KKR,Punjab Kings,Rahul Chahar,2,2,0,12,12,1,6,5,0,1,0,0
T20 #2,Punjab Kings vs KKR,Punjab Kings,Harpreet Brar,1,1,0,6,7,0,7,3,1,0,0,0
T20 #3,Super Giants vs Capitals,Capitals,Khaleel Ahmed,4,4,0,24,30,2,7.5,15,3,2,1,0
T20 #3,Super Giants vs Capitals,Capitals,Mukesh Kumar,4,4,0,24,34,0,8.5,5,0,2,1,0
T20 #3,Super Giants vs Capitals,Capitals,Chetan Sakariya,4,4,0,24,53,2,13.25,8,1,6,3,0
T20 #3,Super Giants vs Capitals,Capitals,Axar Patel,4,4,0,24,38,1,9.5,8,1,3,0,0
T20 #3,Super Giants vs Capitals,Capitals,Kuldeep Yadav,4,4,0,24,35,1,8.75,7,0,3,0,0
T20 #3,Super Giants vs Capitals,Super Giants,Kyle Mayers,1,1,0,6,7,0,7,3,1,0,1,0
T20 #3,Super Giants vs Capitals,Super Giants,Jaydev Unadkat,3,3,0,18,39,0,13,3,5,0,2,0
T20 #3,Super Giants vs Capitals,Super Giants,Krishnappa Gowtham,4,4,0,24,23,0,5.75,9,2,0,1,0
T20 #3,Super Giants vs Capitals,Super Giants,Avesh Khan,4,4,0,24,29,2,7.25,12,3,1,0,0
T20 #3,Super Giants vs Capitals,Super Giants,Mark Wood,4,4,0,24,14,5,3.5,17,1,0,1,1
T20 #3,Super Giants vs Capitals,Super Giants,Ravi Bishnoi,4,4,0,24,31,2,7.75,8,3,1,0,0
T20 #4,Royals vs Sunrisers,Sunrisers,Bhuvneshwar Kumar,3,3,0,18,36,0,12,6,4,2,1,0
T20 #4,Royals vs Sunrisers,Sunrisers,Fazalhaq Farooqi,4,4,0,24,41,2,10.25,11,7,0,0,0
T20 #4,Royals vs Sunrisers,Sunrisers,Washington Sundar,3,3,0,18,32,0,10.66,5,1,3,0,0
T20 #4,Royals vs Sunrisers,Sunrisers,T Natarajan,3,3,0,18,23,2,7.66,7,4,0,0,0
T20 #4,Royals vs Sunrisers,Sunrisers,Adil Rashid,4,4,0,24,33,0,8.25,6,1,2,0,0
T20 #4,Royals vs Sunrisers,Sunrisers,Umran Malik,3,3,0,18,32,1,10.66,4,4,1,1,0
T20 #4,Royals vs Sunrisers,Royals,Trent Boult,4,4,0,24,21,2,5.25,15,2,1,0,0
T20 #4,Royals vs Sunrisers,Royals,KM Asif,3,3,0,18,15,0,5,9,1,0,1,0
T20 #4,Royals vs Sunrisers,Royals,Jason Holder,3,3,0,18,16,1,5.33,10,1,1,0,0
T20 #4,Royals vs Sunrisers,Royals,Ravichandran Ashwin,4,4,0,24,27,1,6.75,10,1,1,2,0
T20 #4,Royals vs Sunrisers,Royals,Yuzvendra Chahal,4,4,0,24,17,4,4.25,11,0,0,0,0
T20 #4,Royals vs Sunrisers,Royals,Navdeep Saini,2,2,0,12,34,0,17,3,3,2,0,3
T20 #5,Mumbai vs RCB,RCB,Mohammed Siraj,4,4,0,24,21,1,5.25,16,2,0,6,0
T20 #5,Mumbai vs RCB,RCB,Reece Topley,2,2,0,12,14,1,7,7,3,0,0,0
T20 #5,Mumbai vs RCB,RCB,Akash Deep,3,3,0,18,29,1,9.66,7,2,2,0,0
T20 #5,Mumbai vs RCB,RCB,Harshal Patel,4,4,0,24,43,1,10.75,6,3,2,1,1
T20 #5,Mumbai vs RCB,RCB,Karn Sharma,4,4,0,24,32,2,8,7,1,2,1,0
