Team1,Team2,Winner,Margin,Ground,Date,Stage,match_id
Titans,Super Kings,Titans,5 wickets,Ahmedabad,31-Mar-23,league,T20 #1
Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,1-Apr-23,league,T20 #2
Super Giants,Capitals,Super Giants,50 runs,Lucknow,1-Apr-23,league,T20 #3
Sunrisers,Royals,Royals,72 runs,Hyderabad,2-Apr-23,league,T20 #4
RCB,Mumbai,RCB,8 wickets,Bengaluru,2-Apr-23,league,T20 #5
Super Kings,Super Giants,Super Kings,12 runs,Chennai,3-Apr-23,league,T20 #6
Capitals,Titans,Titans,6 wickets,Delhi,4-Apr-23,league,T20 #7
Royals,Punjab Kings,Punjab Kings,5 runs,Guwahati,5-Apr-23,league,T20 #8
KKR,RCB,KKR,81 runs,Eden Gardens,6-Apr-23,league,T20 #9
Super Giants,Sunrisers,Super Giants,5 wickets,Lucknow,7-Apr-23,league,T20 #10
Royals,Capitals,Royals,57 runs,Guwahati,8-Apr-23,league,T20 #11
Mumbai,Super Kings,Super Kings,7 wickets,Wankhede,8-Apr-23,league,T20 #12
Titans,KKR,KKR,3 wickets,Ahmedabad,9-Apr-23,league,T20 #13
Sunrisers,Punjab Kings,Sunrisers,8 wickets,Hyderabad,9-Apr-23,league,T20 #14
RCB,Super Giants,Super Giants,1 wicket,Bengaluru,10-Apr-23,league,T20 #15
Capitals,Mumbai,Mumbai,6 wickets,Delhi,11-Apr-23,league,T20 #16
Super Kings,Royals,Royals,3 runs,Chennai,12-Apr-23,league,T20 #17
Punjab Kings,Titans,Titans,6 wickets,Mohali,13-Apr-23,league,T20 #18
KKR,Sunrisers,Sunrisers,23 runs,Eden Gardens,14-Apr-23,league,T20 #19
RCB,Capitals,RCB,23 runs,Bengaluru,15-Apr-23,league,T20 #20
Super Giants,Punjab Kings,Punjab Kings,2 wickets,Lucknow,15-Apr-23,league,T20 #21
Mumbai,KKR,Mumbai,5 wickets,Wankhede,16-Apr-23,league,T20 #22
Titans,Royals,Royals,3 wickets,Ahmedabad,16-Apr-23,league,T20 #23
RCB,Super Kings,Super Kings,8 runs,Bengaluru,17-Apr-23,league,T20 #24
Sunrisers,Mumbai,Mumbai,14 runs,Hyderabad,18-Apr-23,league,T20 #25
Royals,Super Giants,Super Giants,10 runs,Jaipur,19-Apr-23,league,T20 #26
Punjab Kings,RCB,RCB,24 runs,Mohali,20-Apr-23,league,T20 #27
Capitals,KKR,Capitals,4 wickets,Delhi,20-Apr-23,league,T20 #28
Super Kings,Sunrisers,Super Kings,7 wickets,Chennai,21-Apr-23,league,T20 #29
Super Giants,Titans,Titans,7 runs,Lucknow,22-Apr-23,league,T20 #30
Mumbai,Punjab Kings,Punjab Kings,13 runs,Wankhede,22-Apr-23,league,T20 #31
RCB,Royals,RCB,7 runs,Bengaluru,23-Apr-23,league,T20 #32
KKR,Super Kings,Super Kings,49 runs,Eden Gardens,23-Apr-23,league,T20 #33
Sunrisers,Capitals,Capitals,7 runs,Hyderabad,24-Apr-23,league,T20 #34
Titans,Mumbai,Titans,55 runs,Ahmedabad,25-Apr-23,league,T20 #35
RCB,KKR,KKR,21 runs,Bengaluru,26-Apr-23,league,T20 #36
Royals,Super Kings,Royals,32 runs,Jaipur,27-Apr-23,league,T20 #37
Punjab Kings,Super Giants,Super Giants,56 runs,Mohali,28-Apr-23,league,T20 #38
KKR,Titans,Titans,7 wickets,Eden Gardens,29-Apr-23,league,T20 #39
Capitals,Sunrisers,Sunrisers,9 runs,Delhi,29-Apr-23,league,T20 #40
Super Kings,Punjab Kings,Punjab Kings,4 wickets,Chennai,30-Apr-23,league,T20 #41
Mumbai,Royals,Mumbai,6 wickets,Wankhede,30-Apr-23,league,T20 #42
Super Giants,RCB,RCB,18 runs,Lucknow,1-May-23,league,T20 #43
Titans,Capitals,Capitals,5 runs,Ahmedabad,2-May-23,league,T20 #44
Punjab Kings,Mumbai,Mumbai,6 wickets,Mohali,3-May-23,league,T20 #45
