matchid,match,teamInnings,battingPos,batsmanName,runs,balls,fours,sixes,out/not_out,out,sr
T20 #1,Super Kings vs Titans,Super Kings,2,Devon Conway,1,6,0,0,out,1,16.67
T20 #1,Super Kings vs Titans,Super Kings,3,Ruturaj Gaikwad,92,50,4,9,out,1,184
T20 #1,Super Kings vs Titans,Super Kings,4,Moeen Ali,23,17,4,1,out,1,135.29
T20 #1,Super Kings vs Titans,Super Kings,5,Ben Stokes,7,6,1,0,out,1,116.67
T20 #1,Super Kings vs Titans,Super Kings,6,Ambati Rayudu,12,12,0,1,out,1,100
T20 #1,Super Kings vs Titans,Super Kings,7,Shivam Dube,19,18,0,1,out,1,105.56
T20 #1,Super Kings vs Titans,Super Kings,8,Ravindra Jadeja,1,2,0,0,out,1,50
T20 #1,Super Kings vs Titans,Super Kings,9,MS Dhoni,14,7,1,1,not_out,0,200
T20 #1,Super Kings vs Titans,Super Kings,10,Mitchell Santner,1,3,0,0,not_out,0,33.33
T20 #1,Super Kings vs Titans,Titans,2,Wriddhiman Saha,25,16,2,2,out,1,156.25
T20 #1,Super Kings vs Titans,Titans,3,Shubman Gill,63,36,6,3,out,1,175
T20 #1,Super Kings vs Titans,Titans,4,Sai Sudharsan,22,17,3,0,out,1,129.41
T20 #1,Super Kings vs Titans,Titans,5,Hardik Pandya,8,11,0,0,out,1,72.73
T20 #1,Super Kings vs Titans,Titans,6,Vijay Shankar,27,21,2,1,out,1,128.57
T20 #1,Super Kings vs Titans,Titans,7,Rahul Tewatia,15,14,1,1,not_out,0,107.14
T20 #1,Super Kings vs Titans,Titans,8,Rashid Khan,10,3,1,1,not_out,0,333.33
T20 #2,Punjab Kings vs KKR,Punjab Kings,2,Prabhsimran Singh,23,12,2,2,out,1,191.67
T20 #2,Punjab Kings vs KKR,Punjab Kings,3,Shikhar Dhawan,40,29,6,0,out,1,137.93
T20 #2,Punjab Kings vs KKR,Punjab Kings,4,Bhanuka Rajapaksa,50,32,5,2,out,1,156.25
T20 #2,Punjab Kings vs KKR,Punjab Kings,5,Jitesh Sharma,21,11,1,2,out,1,190.91
T20 #2,Punjab Kings vs KKR,Punjab Kings,6,Sikandar Raza,16,13,1,1,out,1,123.08
T20 #2,Punjab Kings vs KKR,Punjab Kings,7,Sam Curran,26,17,0,2,not_out,0,152.94
T20 #2,Punjab Kings vs KKR,Punjab Kings,8,M Shahrukh Khan,11,7,2,0,not_out,0,157.14
T20 #2,Punjab Kings vs KKR,KKR,2,Mandeep Singh,2,4,0,0,out,1,50
T20 #2,Punjab Kings vs KKR,KKR,3,Rahmanullah Gurbaz,22,16,3,1,out,1,137.5
T20 #2,Punjab Kings vs KKR,KKR,4,Anukul Roy,4,5,1,0,out,1,80
T20 #2,Punjab Kings vs KKR,KKR,5,Venkatesh Iyer,34,28,3,1,out,1,121.43
T20 #2,Punjab Kings vs KKR,KKR,6,Nitish Rana,24,17,3,1,out,1,141.18
T20 #2,Punjab Kings vs KKR,KKR,7,Rinku Singh,4,4,0,0,out,1,100
T20 #2,Punjab Kings vs KKR,KKR,8,Andre Russell,35,19,3,2,out,1,184.21
T20 #2,Punjab Kings vs KKR,KKR,9,Shardul Thakur,8,3,0,1,not_out,0,266.67
T20 #2,Punjab Kings vs KKR,KKR,10,Sunil Narine,7,2,0,1,not_out,0,350
T20 #3,Super Giants vs Capitals,Super Giants,2,KL Rahul,8,12,0,1,out,1,66.67
T20 #3,Super Giants vs Capitals,Super Giants,3,Kyle Mayers,73,38,2,7,out,1,192.11
T20 #3,Super Giants vs Capitals,Super Giants,4,Deepak Hooda,17,18,0,0,out,1,94.44
T20 #3,Super Giants vs Capitals,Super Giants,5,Krunal Pandya,15,13,0,1,not_out,0,115.38
T20 #3,Super Giants vs Capitals,Super Giants,6,Marcus Stoinis,12,10,0,1,out,1,120
T20 #3,Super Giants vs Capitals,Super Giants,7,Nicholas Pooran,36,21,2,3,out,1,171.43
T20 #3,Super Giants vs Capitals,Super Giants,8,Ayush Badoni,18,7,1,2,out,1,257.14
T20 #3,Super Giants vs Capitals,Super Giants,9,Krishnappa Gowtham,6,1,0,1,not_out,0,600
T20 #3,Super Giants vs Capitals,Capitals,2,Prithvi Shaw,12,9,2,0,out,1,133.33
T20 #3,Super Giants vs Capitals,Capitals,3,David Warner,56,48,7,0,out,1,116.67
T20 #3,Super Giants vs Capitals,Capitals,4,Mitchell Marsh,0,1,0,0,out,1,0
T20 #3,Super Giants vs Capitals,Capitals,5,Sarfaraz Khan,4,9,1,0,out,1,44.44
T20 #3,Super Giants vs Capitals,Capitals,6,Rilee Rossouw,30,20,3,1,out,1,150
T20 #3,Super Giants vs Capitals,Capitals,7,Rovman Powell,1,3,0,0,out,1,33.33
T20 #3,Super Giants vs Capitals,Capitals,8,Aman Hakim Khan,4,5,0,0,out,1,80
T20 #3,Super Giants vs Capitals,Capitals,9,Axar Patel,16,11,1,1,out,1,145.45
T20 #3,Super Giants vs Capitals,Capitals,10,Kuldeep Yadav,6,10,0,0,not_out,0,60
T20 #3,Super Giants vs Capitals,Capitals,11,Chetan Sakariya,4,4,1,0,out,1,100
T20 #3,Super Giants vs Capitals,Capitals,12,Mukesh Kumar,0,1,0,0,not_out,0,0
T20 #4,Royals vs Sunrisers,Royals,2,Yashasvi Jaiswal,54,37,9,0,out,1,145.95
T20 #4,Royals vs Sunrisers,Royals,3,Jos Buttler,54,22,7,3,out,1,245.45
T20 #4,Royals vs Sunrisers,Royals,4,Sanju Samson,55,32,3,4,out,1,171.88
T20 #4,Royals vs Sunrisers,Royals,5,Devdutt Padikkal,2,5,0,0,out,1,40
T20 #4,Royals vs Sunrisers,Royals,6,Riyan Parag,7,6,1,0,out,1,116.67
T20 #4,Royals vs Sunrisers,Royals,7,Shimron Hetmyer,22,16,1,1,not_out,0,137.5
T20 #4,Royals vs Sunrisers,Royals,8,Ravichandran Ashwin,1,2,0,0,not_out,0,50
T20 #4,Royals vs Sunrisers,Sunrisers,2,Abhishek Sharma,0,3,0,0,out,1,0
T20 #4,Royals vs Sunrisers,Sunrisers,3,Mayank Agarwal,27,23,3,0,out,1,117.39
T20 #4,Royals vs Sunrisers,Sunrisers,4,Rahul Tripathi,0,2,0,0,out,1,0
T20 #4,Royals vs Sunrisers,Sunrisers,5,Harry Brook,13,21,1,0,out,1,61.9
T20 #4,Royals vs Sunrisers,Sunrisers,6,Washington Sundar,1,5,0,0,out,1,20
T20 #4,Royals vs Sunrisers,Sunrisers,7,Glenn Phillips,8,6,0,1,out,1,133.33
T20 #4,Royals vs Sunrisers,Sunrisers,8,Abdul Samad,32,32,2,1,not_out,0,100
T20 #4,Royals vs Sunrisers,Sunrisers,9,Adil Rashid,18,13,1,1,out,1,138.46
T20 #4,Royals vs Sunrisers,Sunrisers,10,Bhuvneshwar Kumar,6,10,0,0,out,1,60
T20 #4,Royals vs Sunrisers,Sunrisers,11,Umran Malik,19,8,1,2,not_out,0,237.5
T20 #5,Mumbai vs RCB,Mumbai,2,Rohit Sharma,1,10,0,0,out,1,10
T20 #5,Mumbai vs RCB,Mumbai,3,Ishan Kishan,10,13,2,0,out,1,76.92
T20 #5,Mumbai vs RCB,Mumbai,4,Cameron Green,5,4,1,0,out,1,125
T20 #5,Mumbai vs RCB,Mumbai,5,Suryakumar Yadav,15,16,1,0,out,1,93.75
T20 #5,Mumbai vs RCB,Mumbai,6,Tilak Varma,84,46,9,4,not_out,0,182.61
T20 #5,Mumbai vs RCB,Mumbai,7,Nehal Wadhera,21,13,1,2,out,1,161.54
T20 #5,Mumbai vs RCB,Mumbai,8,Tim David,4,7,0,0,out,1,57.14
T20 #5,Mumbai vs RCB,Mumbai,9,Hrithik Shokeen,5,3,1,0,out,1,166.67
T20 #5,Mumbai vs RCB,Mumbai,10,Arshad Khan,15,9,0,1,not_out,0,166.67
T20 #5,Mumbai vs RCB,RCB,2,Virat Kohli,82,49,6,5,not_out,0,167.35
T20 #5,Mumbai vs RCB,RCB,3,Faf du Plessis,73,43,5,6,out,1,169.77
T20 #5,Mumbai vs RCB,RCB,4,Dinesh Karthik,0,3,0,0,out,1,0
T20 #5,Mumbai vs RCB,RCB,5,Glenn Maxwell,12,3,0,2,not_out,0,400
T20 #6,Super Kings vs Super Giants,Super Kings,2,Ruturaj Gaikwad,57,31,3,4,out,1,183.87
T20 #6,Super Kings vs Super Giants,Super Kings,3,Devon Conway,47,29,5,2,out,1,162.07
T20 #6,Super Kings vs Super Giants,Super Kings,4,Shivam Dube,27,16,1,3,out,1,168.75
T20 #6,Super Kings vs Super Giants,Super Kings,5,Moeen Ali,19,13,3,0,out,1,146.15
T20 #6,Super Kings vs Super Giants,Super Kings,6,Ben Stokes,8,8,1,0,out,1,100
T20 #6,Super Kings vs Super Giants,Super Kings,7,Ambati Rayudu,27,14,2,2,not_out,0,192.86
T20 #6,Super Kings vs Super Giants,Super Kings,8,Ravindra Jadeja,3,6,0,0,out,1,50
T20 #6,Super Kings vs Super Giants,Super Kings,9,MS Dhoni,12,3,0,2,out,1,400
T20 #6,Super Kings vs Super Giants,Super Kings,10,Mitchell Santner,1,1,0,0,not_out,0,100
T20 #6,Super Kings vs Super Giants,Super Giants,2,KL Rahul,20,18,2,0,out,1,111.11
T20 #6,Super Kings vs Super Giants,Super Giants,3,Kyle Mayers,53,22,8,2,out,1,240.91
T20 #6,Super Kings vs Super Giants,Super Giants,4,Deepak Hooda,2,6,0,0,out,1,33.33
T20 #6,Super Kings vs Super Giants,Super Giants,5,Krunal Pandya,9,9,0,1,out,1,100
T20 #6,Super Kings vs Super Giants,Super Giants,6,Marcus Stoinis,21,18,0,1,out,1,116.67
T20 #6,Super Kings vs Super Giants,Super Giants,7,Nicholas Pooran,32,18,2,3,out,1,177.78
T20 #6,Super Kings vs Super Giants,Super Giants,8,Ayush Badoni,23,18,0,0,out,1,127.78
T20 #6,Super Kings vs Super Giants,Super Giants,9,Krishnappa Gowtham,17,11,0,1,not_out,0,154.55
T20 #6,Super Kings vs Super Giants,Super Giants,10,Mark Wood,10,3,1,1,not_out,0,333.33
T20 #7,Capitals vs Titans,Capitals,2,David Warner,37,32,7,0,out,1,115.62
T20 #7,Capitals vs Titans,Capitals,3,Prithvi Shaw,7,5,1,0,out,1,140
T20 #7,Capitals vs Titans,Capitals,4,Mitchell Marsh,4,4,1,0,out,1,100
